DateCourse;Numéro -Voit;sched_start;sched_end;Type;CodeLong;Ligne;Category
2025-06-26;80 - 8;1900-01-01 23:40:00;;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 5;1900-01-01 23:20:00;1900-01-01 23:47:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 19;1900-01-01 23:00:00;1900-01-01 23:27:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 9;1900-01-01 22:40:00;1900-01-01 23:08:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 8;1900-01-01 22:20:00;1900-01-01 22:48:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 5;1900-01-01 22:00:00;1900-01-01 22:28:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 19;1900-01-01 21:40:00;1900-01-01 22:08:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 9;1900-01-01 21:20:00;1900-01-01 21:49:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 8;1900-01-01 21:00:00;1900-01-01 21:29:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 5;1900-01-01 20:40:00;1900-01-01 21:10:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 19;1900-01-01 20:20:00;1900-01-01 20:50:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 9;1900-01-01 20:02:00;1900-01-01 20:32:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 8;1900-01-01 19:43:00;1900-01-01 20:14:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 1;1900-01-01 19:29:00;1900-01-01 20:01:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 5;1900-01-01 19:19:00;1900-01-01 19:51:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 20;1900-01-01 19:09:00;1900-01-01 19:41:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 19;1900-01-01 18:58:20;1900-01-01 19:31:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 23;1900-01-01 18:47:40;1900-01-01 19:21:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 9;1900-01-01 18:39:40;1900-01-01 19:14:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 16;1900-01-01 18:31:40;1900-01-01 19:06:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 22;1900-01-01 18:25:40;1900-01-01 19:01:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 8;1900-01-01 18:18:40;1900-01-01 18:54:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 17;1900-01-01 18:12:40;1900-01-01 18:49:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 14;1900-01-01 18:06:40;1900-01-01 18:43:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 1;1900-01-01 17:59:00;1900-01-01 18:35:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 21;1900-01-01 17:52:00;1900-01-01 18:29:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 5;1900-01-01 17:46:00;1900-01-01 18:24:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 20;1900-01-01 17:39:00;1900-01-01 18:17:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 12;1900-01-01 17:33:00;1900-01-01 18:12:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 19;1900-01-01 17:26:00;1900-01-01 18:05:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 3;1900-01-01 17:20:00;1900-01-01 17:59:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 23;1900-01-01 17:13:00;1900-01-01 17:52:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 18;1900-01-01 17:07:00;1900-01-01 17:46:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 9;1900-01-01 17:01:00;1900-01-01 17:40:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 16;1900-01-01 16:54:40;1900-01-01 17:34:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 22;1900-01-01 16:48:00;1900-01-01 17:27:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 8;1900-01-01 16:41:00;1900-01-01 17:20:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 17;1900-01-01 16:34:40;1900-01-01 17:14:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 14;1900-01-01 16:28:40;1900-01-01 17:08:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 15;1900-01-01 16:21:40;1900-01-01 17:01:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 1;1900-01-01 16:15:00;1900-01-01 16:54:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;80 - 21;1900-01-01 16:07:00;1900-01-01 16:46:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 15;1900-01-01 23:41:00;;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 5;1900-01-01 16:02:20;1900-01-01 16:41:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 12;1900-01-01 22:45:00;1900-01-01 23:22:40;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 20;1900-01-01 15:56:00;1900-01-01 16:34:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 1;1900-01-01 21:41:00;1900-01-01 22:20:20;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 12;1900-01-01 15:50:20;1900-01-01 16:28:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 4;1900-01-01 20:45:00;1900-01-01 21:25:40;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 19;1900-01-01 15:42:00;1900-01-01 16:19:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 1;1900-01-01 20:05:00;1900-01-01 20:45:40;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 3;1900-01-01 15:36:40;1900-01-01 16:13:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 12;1900-01-01 19:40:00;1900-01-01 20:21:20;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 18;1900-01-01 15:30:00;1900-01-01 16:07:00;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 13;1900-01-01 19:10:00;1900-01-01 19:52:20;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 9;1900-01-01 15:23:20;1900-01-01 16:00:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 11;1900-01-01 18:52:00;1900-01-01 19:34:40;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 16;1900-01-01 15:17:00;1900-01-01 15:53:40;Régulier;SJSN04;80;GEM’BUS
2025-06-26;68 - 14;1900-01-01 18:34:00;1900-01-01 19:17:20;Régulier;VATH01;68;GEM’BUS
2025-06-26;80 - 8;1900-01-01 15:09:00;1900-01-01 15:45:20;Régulier;SJSN04;80;GEM’BUS
2025-06-26;66 - 5;1900-01-01 23:14:00;1900-01-01 23:49:20;Régulier;VATH00;66;GEM’BUS
2025-06-26;68 - 1;1900-01-01 18:16:00;1900-01-01 19:00:20;Régulier;VATH01;68;GEM’BUS
