,orig_idx,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,Numéro -Voit_actual,HSortieFenetreArretReal,TypeSens,time_diff
4211,88,2025-05-12,37 - 26,1900-01-01 07:01:00,1900-01-01 07:28:20,Régulier,PMAR01,33,Genève-Tours,33 - 26,1900-01-01 07:01:12,0,0 days 00:00:12
141,3,2025-05-12,33z - 17,1900-01-01 07:26:40,1900-01-01 07:44:00,Régulier,VAND02,33,Genève-Tours,33 - 17,1900-01-01 07:25:11,0,0 days 00:01:29
1920,41,2025-05-12,37 - 26,1900-01-01 07:33:40,1900-01-01 08:01:40,Régulier,RIVE04,33,Genève-Tours,33 - 26,1900-01-01 07:34:27,0,0 days 00:00:47
4026,85,2025-05-12,32 - 1,1900-01-01 07:43:40,1900-01-01 08:12:00,Régulier,PMAR01,33,Genève-Tours,33 - 1,1900-01-01 07:44:06,0,0 days 00:00:26
3931,83,2025-05-12,32 - 6,1900-01-01 08:14:00,1900-01-01 08:42:00,Régulier,PMAR01,33,Genève-Tours,33 - 6,1900-01-01 08:13:49,0,0 days 00:00:11
3820,80,2025-05-12,37 - 26,1900-01-01 08:58:40,1900-01-01 09:24:20,Régulier,PMAR01,33,Genève-Tours,33 - 26,1900-01-01 09:00:02,0,0 days 00:01:22
1696,37,2025-05-12,32 - 6,1900-01-01 09:00:00,1900-01-01 09:25:40,Régulier,RIVE04,33,Genève-Tours,33 - 6,1900-01-01 09:00:59,0,0 days 00:00:59
1686,36,2025-05-12,37 - 26,1900-01-01 09:31:20,1900-01-01 09:56:40,Régulier,RIVE04,33,Genève-Tours,33 - 26,1900-01-01 09:34:35,0,0 days 00:03:15
3638,77,2025-05-12,32 - 6,1900-01-01 10:15:40,1900-01-01 10:41:20,Régulier,PMAR01,33,Genève-Tours,33 - 6,1900-01-01 10:17:08,0,0 days 00:01:28
3622,76,2025-05-12,37 - 24,1900-01-01 10:46:40,1900-01-01 11:12:40,Régulier,PMAR01,33,Genève-Tours,33 - 24,1900-01-01 10:47:08,0,0 days 00:00:28
1509,33,2025-05-12,32 - 6,1900-01-01 11:01:40,1900-01-01 11:27:20,Régulier,RIVE04,33,Genève-Tours,33 - 6,1900-01-01 11:01:58,0,0 days 00:00:18
3576,75,2025-05-12,37 - 26,1900-01-01 11:15:40,1900-01-01 11:42:00,Régulier,PMAR01,33,Genève-Tours,33 - 26,1900-01-01 11:15:57,0,0 days 00:00:17
1452,31,2025-05-12,37 - 26,1900-01-01 12:01:40,1900-01-01 12:27:40,Régulier,RIVE04,33,Genève-Tours,33 - 26,1900-01-01 12:02:19,0,0 days 00:00:39
3440,73,2025-05-12,32 - 5,1900-01-01 12:16:40,1900-01-01 12:42:00,Régulier,PMAR01,33,Genève-Tours,33 - 5,1900-01-01 12:16:53,0,0 days 00:00:13
3390,72,2025-05-12,32 - 1,1900-01-01 12:39:40,1900-01-01 13:05:00,Régulier,PMAR01,33,Genève-Tours,33 - 1,1900-01-01 12:41:24,0,0 days 00:01:44
4465,93,2025-05-12,Az - 35,1900-01-01 13:01:00,1900-01-01 13:26:20,Régulier,PMAR01,33,Genève-Tours,33 - 35,1900-01-01 13:01:29,0,0 days 00:00:29
1319,29,2025-05-12,32 - 5,1900-01-01 13:01:40,1900-01-01 13:27:40,Régulier,RIVE04,33,Genève-Tours,33 - 5,1900-01-01 13:03:06,0,0 days 00:01:26
