,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
196,2025-04-01,33 - 12,1900-01-01 04:53:00,1900-01-01 05:12:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 04:53:00,2025-04-01 04:53:00,31 - 12,0.0
792,2025-04-01,48 - 1,1900-01-01 04:54:00,1900-01-01 05:05:20,Régulier,LULY00,47,ODIER,2025-04-01 04:54:00,2025-04-01 04:54:00,47 - 1,0.0
1903,2025-04-01,L - 2,1900-01-01 05:05:00,1900-01-01 05:21:20,Régulier,SYGA00,70,ODIER,2025-04-01 05:05:00,2025-04-01 05:05:00,70 - 2,0.0
1157,2025-04-01,52 - 3,1900-01-01 05:08:00,1900-01-01 05:30:40,Régulier,CHAV00,55,ODIER,2025-04-01 05:08:00,2025-04-01 05:08:00,55 - 3,0.0
745,2025-04-01,48 - 2,1900-01-01 05:20:20,1900-01-01 05:33:00,Régulier,CRCO05,47,ODIER,2025-04-01 05:20:20,2025-04-01 05:20:00,47 - 2,0.0
1531,2025-04-01,60 - 5,1900-01-01 05:21:00,1900-01-01 06:00:00,Régulier,GXAI01,61,Rdta,2025-04-01 05:21:00,2025-04-01 05:21:00,61 - 5,0.0
155,2025-04-01,33 - 13,1900-01-01 05:27:40,1900-01-01 05:45:00,Régulier,PMAR00,31,Genève-Tours,2025-04-01 05:27:40,2025-04-01 05:27:00,31 - 13,0.0
1866,2025-04-01,L - 2,1900-01-01 05:28:00,1900-01-01 05:45:20,Régulier,CRCO05,70,ODIER,2025-04-01 05:28:00,2025-04-01 05:28:00,70 - 2,0.0
793,2025-04-01,48 - 3,1900-01-01 05:29:00,1900-01-01 05:40:20,Régulier,LULY00,47,ODIER,2025-04-01 05:29:00,2025-04-01 05:29:00,47 - 3,0.0
1904,2025-04-01,L - 4,1900-01-01 05:35:00,1900-01-01 05:51:20,Régulier,SYGA00,70,ODIER,2025-04-01 05:35:00,2025-04-01 05:35:00,70 - 4,0.0
1123,2025-04-01,52 - 3,1900-01-01 05:40:00,1900-01-01 06:03:00,Régulier,BOSY00,55,ODIER,2025-04-01 05:40:00,2025-04-01 05:40:00,55 - 3,0.0
154,2025-04-01,33 - 14,1900-01-01 05:43:00,1900-01-01 05:47:40,Régulier,MIDE01,31,Genève-Tours,2025-04-01 05:43:00,2025-04-01 05:43:00,31 - 14,0.0
197,2025-04-01,33 - 13,1900-01-01 05:54:00,1900-01-01 06:13:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 05:54:00,2025-04-01 05:54:00,31 - 13,0.0
746,2025-04-01,48 - 1,1900-01-01 05:54:00,1900-01-01 06:07:40,Régulier,CRCO05,47,ODIER,2025-04-01 05:54:00,2025-04-01 05:54:00,47 - 1,0.0
156,2025-04-01,33 - 15,1900-01-01 05:58:40,1900-01-01 06:16:00,Régulier,PMAR00,31,Genève-Tours,2025-04-01 05:58:40,2025-04-01 05:58:00,31 - 15,0.0
794,2025-04-01,48 - 2,1900-01-01 05:58:40,1900-01-01 06:10:40,Régulier,LULY00,47,ODIER,2025-04-01 05:58:40,2025-04-01 05:58:00,47 - 2,0.0
256,2025-04-01,33 - 16,1900-01-01 06:04:00,1900-01-01 06:39:20,Régulier,MONN00,32,Genève-Tours,2025-04-01 06:04:00,2025-04-01 06:04:00,32 - 16,0.0
1905,2025-04-01,L - 2,1900-01-01 06:05:00,1900-01-01 06:21:20,Régulier,SYGA00,70,ODIER,2025-04-01 06:05:00,2025-04-01 06:05:00,70 - 2,0.0
1867,2025-04-01,L - 3,1900-01-01 06:06:00,1900-01-01 06:23:40,Régulier,CRCO05,70,ODIER,2025-04-01 06:06:00,2025-04-01 06:06:00,70 - 3,0.0
198,2025-04-01,32 - 4,1900-01-01 06:10:00,1900-01-01 06:29:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 06:10:00,2025-04-01 06:10:00,31 - 4,0.0
476,2025-04-01,32 - 3,1900-01-01 06:11:00,1900-01-01 06:36:00,Régulier,LULI00,37,Genève-Tours,2025-04-01 06:11:00,2025-04-01 06:11:00,37 - 3,0.0
1532,2025-04-01,60 - 2,1900-01-01 06:15:40,1900-01-01 06:57:20,Régulier,GXAI01,61,Rdta,2025-04-01 06:15:40,2025-04-01 06:15:00,61 - 2,0.0
1868,2025-04-01,L - 5,1900-01-01 06:22:00,1900-01-01 06:39:40,Régulier,CRCO05,70,ODIER,2025-04-01 06:22:00,2025-04-01 06:22:00,70 - 5,0.0
747,2025-04-01,48 - 4,1900-01-01 06:23:20,1900-01-01 06:37:20,Régulier,CRCO05,47,ODIER,2025-04-01 06:23:20,2025-04-01 06:23:00,47 - 4,0.0
199,2025-04-01,33 - 15,1900-01-01 06:24:00,1900-01-01 06:44:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 06:24:00,2025-04-01 06:24:00,31 - 15,0.0
795,2025-04-01,48 - 1,1900-01-01 06:29:00,1900-01-01 06:42:20,Régulier,LULY00,47,ODIER,2025-04-01 06:29:00,2025-04-01 06:29:00,47 - 1,0.0
157,2025-04-01,33 - 12,1900-01-01 06:30:40,1900-01-01 06:50:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 06:30:40,2025-04-01 06:30:00,31 - 12,0.0
1533,2025-04-01,60 - 9,1900-01-01 06:34:40,1900-01-01 07:18:40,Régulier,GXAI01,61,Rdta,2025-04-01 06:34:40,2025-04-01 06:34:00,61 - 9,0.0
