DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens,voit_sched_only,voit_actual_only
2025-04-01,33 - 19,1900-01-01 17:58:40,1900-01-01 18:24:40,Régulier,PMAR01,33,Genève-Tours,2025-04-01 17:58:40,2025-04-01 17:59:00,33 - 2,0.0,19,2
2025-04-04,60 - 33,1900-01-01 19:13:00,1900-01-01 19:39:40,Régulier,CVIN03,60,Rdta,2025-04-04 19:13:00,2025-04-04 19:17:00,60 - 39,0.0,33,39
2025-04-07,L - 32,1900-01-01 13:02:00,1900-01-01 13:26:00,Régulier,ATEC02,L,ODIER,2025-04-07 13:02:00,2025-04-07 13:04:00,L - 7,0.0,32,7
2025-04-07,C9 - 42,1900-01-01 13:04:00,1900-01-01 13:23:40,Régulier,LULY04,C9,ODIER,2025-04-07 13:04:00,2025-04-07 13:04:00,C9 - 1,0.0,42,1
2025-04-07,C8 - 6,1900-01-01 13:35:00,1900-01-01 13:54:00,Régulier,CEBE01,C8,GLOBE,2025-04-07 13:35:00,2025-04-07 13:34:00,C8 - 4,0.0,6,4
2025-04-07,68 - 1,1900-01-01 19:07:00,1900-01-01 19:51:40,Régulier,BLDO04,68,GEM’BUS,2025-04-07 19:07:00,2025-04-07 19:07:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 20:05:00,1900-01-01 20:45:40,Régulier,VATH01,68,GEM’BUS,2025-04-07 20:05:00,2025-04-07 20:05:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 20:54:00,1900-01-01 21:36:20,Régulier,BLDO04,68,GEM’BUS,2025-04-07 20:54:00,2025-04-07 20:54:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 21:41:00,1900-01-01 22:20:20,Régulier,VATH01,68,GEM’BUS,2025-04-07 21:41:00,2025-04-07 21:41:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 22:26:00,1900-01-01 22:51:20,Régulier,BLDO04,68,GEM’BUS,2025-04-07 22:26:00,2025-04-07 22:26:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 23:21:00,1900-01-01 23:43:40,Régulier,JMON01,68,GEM’BUS,2025-04-07 23:21:00,2025-04-07 23:21:00,68 - 17,0.0,1,17
2025-04-07,68 - 1,1900-01-01 23:59:00,,Régulier,BLDO04,68,GEM’BUS,2025-04-07 23:59:00,2025-04-07 23:59:00,68 - 17,0.0,1,17
2025-04-11,C8 - 6,1900-01-01 13:35:00,1900-01-01 13:54:00,Régulier,CEBE01,C8,GLOBE,2025-04-11 13:35:00,2025-04-11 13:34:00,C8 - 4,0.0,6,4
2025-04-11,80 - 21,1900-01-01 16:07:00,1900-01-01 16:46:00,Régulier,SJSN04,80,GEM’BUS,2025-04-11 16:07:00,2025-04-11 16:02:00,80 - 5,0.0,21,5
2025-04-14,L - 31,1900-01-01 07:03:00,1900-01-01 07:37:00,Régulier,ATEC02,L,ODIER,2025-04-14 07:03:00,2025-04-14 06:59:00,L - 2,0.0,31,2
2025-04-14,L - 32,1900-01-01 13:02:00,1900-01-01 13:26:00,Régulier,ATEC02,L,ODIER,2025-04-14 13:02:00,2025-04-14 13:04:00,L - 7,0.0,32,7
2025-04-14,33 - 20,1900-01-01 15:47:40,1900-01-01 16:15:00,Régulier,RIVE04,33,Genève-Tours,2025-04-14 15:47:40,2025-04-14 15:49:00,33 - 2,0.0,20,2
2025-04-15,L - 31,1900-01-01 07:03:00,1900-01-01 07:37:00,Régulier,ATEC02,L,ODIER,2025-04-15 07:03:00,2025-04-15 06:59:00,L - 2,0.0,31,2
2025-04-15,L - 32,1900-01-01 13:02:00,1900-01-01 13:26:00,Régulier,ATEC02,L,ODIER,2025-04-15 13:02:00,2025-04-15 13:04:00,L - 7,0.0,32,7
2025-04-15,C8 - 6,1900-01-01 13:35:00,1900-01-01 13:54:00,Régulier,CEBE01,C8,GLOBE,2025-04-15 13:35:00,2025-04-15 13:34:00,C8 - 4,0.0,6,4
2025-04-15,C8 - 8,1900-01-01 16:42:00,1900-01-01 17:03:00,Régulier,CREN01,C8,GLOBE,2025-04-15 16:42:00,2025-04-15 16:41:00,C8 - 7,0.0,8,7
2025-04-17,60 - 33,1900-01-01 19:13:00,1900-01-01 19:39:40,Régulier,CVIN03,60,Rdta,2025-04-17 19:13:00,2025-04-17 19:17:00,60 - 39,0.0,33,39
2025-04-19,74 - 5,1900-01-01 23:48:40,,Régulier,RUSS00,74,GLOBE,2025-04-19 23:48:40,2025-04-19 23:48:00,74 - 1,0.0,5,1
2025-04-22,80 - 12,1900-01-01 06:59:00,1900-01-01 07:40:00,Régulier,SJSN04,80,GEM’BUS,2025-04-22 06:59:00,2025-04-22 06:54:00,80 - 11,0.0,12,11
2025-04-24,80 - 7,1900-01-01 06:19:00,1900-01-01 06:54:40,Régulier,SJSN04,80,GEM’BUS,2025-04-24 06:19:00,2025-04-24 06:24:00,80 - 8,0.0,7,8
2025-04-25,33z - 20,1900-01-01 12:34:40,1900-01-01 12:59:00,Régulier,RIVE04,33,Genève-Tours,2025-04-25 12:34:40,2025-04-25 12:34:00,33 - 2,0.0,20,2
2025-04-28,80 - 12,1900-01-01 06:59:00,1900-01-01 07:40:00,Régulier,SJSN04,80,GEM’BUS,2025-04-28 06:59:00,2025-04-28 06:54:00,80 - 11,0.0,12,11
2025-05-01,72 - 1,1900-01-01 07:35:00,1900-01-01 07:55:40,Régulier,SYGA00,72,GLOBE,2025-05-01 07:35:00,2025-05-01 07:35:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 08:05:00,1900-01-01 08:25:00,Régulier,SYGA00,72,GLOBE,2025-05-01 08:05:00,2025-05-01 08:05:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 08:35:00,1900-01-01 08:55:00,Régulier,SYGA00,72,GLOBE,2025-05-01 08:35:00,2025-05-01 08:35:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 09:05:00,1900-01-01 09:25:00,Régulier,SYGA00,72,GLOBE,2025-05-01 09:05:00,2025-05-01 09:05:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 09:35:00,1900-01-01 09:55:00,Régulier,SYGA00,72,GLOBE,2025-05-01 09:35:00,2025-05-01 09:35:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 10:05:00,1900-01-01 10:25:00,Régulier,SYGA00,72,GLOBE,2025-05-01 10:05:00,2025-05-01 10:05:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 10:35:00,1900-01-01 10:55:00,Régulier,SYGA00,72,GLOBE,2025-05-01 10:35:00,2025-05-01 10:35:00,72 - 3,0.0,1,3
2025-05-01,72 - 1,1900-01-01 11:05:00,1900-01-01 11:25:20,Régulier,SYGA00,72,GLOBE,2025-05-01 11:05:00,2025-05-01 11:05:00,72 - 3,0.0,1,3
