Numéro -Voit_y;Numéro -Voit_x;DateCourse;sched_start;CodeLong;actual_exit_ts
33 - 13;33 - 12;2025-05-12;1900-01-01 06:07:40;RIVE04;2025-05-12 06:06:56+00:00
33 - 12;33 - 13;2025-05-12;1900-01-01 06:15:00;PMAR01;2025-05-12 06:17:11+00:00
33 - 15;33 - 14;2025-05-12;1900-01-01 06:32:40;RIVE04;2025-05-12 06:36:05+00:00
33 - 14;33 - 15;2025-05-12;1900-01-01 06:46:00;PMAR01;2025-05-12 06:50:29+00:00
33 - 12;33 - 13;2025-05-12;1900-01-01 07:03:40;RIVE04;2025-05-12 07:09:43+00:00
33 - 13;33 - 16;2025-05-12;1900-01-01 07:13:00;PMAR01;2025-05-12 07:15:33+00:00
33 - 12;33 - 15;2025-05-12;1900-01-01 07:15:40;RIVE04;2025-05-12 07:09:43+00:00
33 - 14;37 - 26;2025-05-12;1900-01-01 07:33:40;RIVE04;2025-05-12 07:33:29+00:00
33 - 15;32 - 1;2025-05-12;1900-01-01 07:43:40;PMAR01;2025-05-12 07:46:35+00:00
33 - 26;33 - 14;2025-05-12;1900-01-01 07:59:00;PMAR01;2025-05-12 08:01:12+00:00
33 - 13;33 - 12;2025-05-12;1900-01-01 08:03:40;RIVE04;2025-05-12 08:04:44+00:00
33 - 16;32 - 6;2025-05-12;1900-01-01 08:14:00;PMAR01;2025-05-12 08:13:34+00:00
33 - 15;32 - 1;2025-05-12;1900-01-01 08:16:40;RIVE04;2025-05-12 08:16:42+00:00
33 - 12;33 - 13;2025-05-12;1900-01-01 08:29:40;PMAR01;2025-05-12 08:27:32+00:00
33 - 26;33 - 14;2025-05-12;1900-01-01 08:33:40;RIVE04;2025-05-12 08:34:27+00:00
33 - 1;33 - 15;2025-05-12;1900-01-01 08:42:20;PMAR01;2025-05-12 08:44:06+00:00
33 - 14;37 - 26;2025-05-12;1900-01-01 08:58:40;PMAR01;2025-05-12 08:59:12+00:00
33 - 12;32 - 6;2025-05-12;1900-01-01 09:00:00;RIVE04;2025-05-12 09:07:00+00:00
33 - 6;33 - 16;2025-05-12;1900-01-01 09:16:00;PMAR01;2025-05-12 09:13:49+00:00
33 - 14;37 - 26;2025-05-12;1900-01-01 09:31:20;RIVE04;2025-05-12 09:37:33+00:00
33 - 15;33 - 12;2025-05-12;1900-01-01 09:45:40;PMAR01;2025-05-12 09:42:34+00:00
33 - 6;33 - 16;2025-05-12;1900-01-01 10:01:40;RIVE04;2025-05-12 10:00:59+00:00
33 - 16;32 - 6;2025-05-12;1900-01-01 10:15:40;PMAR01;2025-05-12 10:17:43+00:00
33 - 26;33 - 12;2025-05-12;1900-01-01 10:31:40;RIVE04;2025-05-12 10:34:35+00:00
33 - 12;37 - 24;2025-05-12;1900-01-01 10:46:40;PMAR01;2025-05-12 10:46:23+00:00
33 - 16;32 - 6;2025-05-12;1900-01-01 11:01:40;RIVE04;2025-05-12 11:03:38+00:00
33 - 6;37 - 26;2025-05-12;1900-01-01 11:15:40;PMAR01;2025-05-12 11:17:08+00:00
33 - 12;37 - 24;2025-05-12;1900-01-01 11:31:40;RIVE04;2025-05-12 11:33:58+00:00
33 - 24;33 - 12;2025-05-12;1900-01-01 11:45:40;PMAR01;2025-05-12 11:47:08+00:00
33 - 6;37 - 26;2025-05-12;1900-01-01 12:01:40;RIVE04;2025-05-12 12:01:58+00:00
33 - 26;32 - 5;2025-05-12;1900-01-01 12:16:40;PMAR01;2025-05-12 12:15:57+00:00
33 - 12;32 - 1;2025-05-12;1900-01-01 12:39:40;PMAR01;2025-05-12 12:45:41+00:00
33 - 26;32 - 5;2025-05-12;1900-01-01 13:01:40;RIVE04;2025-05-12 13:02:19+00:00
33 - 5;33 - 19;2025-05-12;1900-01-01 13:11:40;PMAR01;2025-05-12 13:16:53+00:00
33 - 18;33 - 20;2025-05-12;1900-01-01 13:31:40;RIVE04;2025-05-12 13:34:50+00:00
33 - 1;37 - 26;2025-05-12;1900-01-01 13:46:20;PMAR01;2025-05-12 13:41:24+00:00
33 - 5;33 - 19;2025-05-12;1900-01-01 14:01:00;RIVE04;2025-05-12 14:03:06+00:00
33 - 19;33 - 18;2025-05-12;1900-01-01 14:15:40;PMAR01;2025-05-12 14:13:01+00:00
33 - 20;37 - 26;2025-05-12;1900-01-01 14:31:40;RIVE04;2025-05-12 14:32:30+00:00
33 - 26;33 - 21;2025-05-12;1900-01-01 14:46:40;PMAR01;2025-05-12 14:46:41+00:00
33 - 19;33 - 18;2025-05-12;1900-01-01 15:01:40;RIVE04;2025-05-12 15:03:21+00:00
33 - 18;33 - 20;2025-05-12;1900-01-01 15:16:40;PMAR01;2025-05-12 15:19:29+00:00
33 - 26;33 - 21;2025-05-12;1900-01-01 15:31:40;RIVE04;2025-05-12 15:32:39+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 15:46:00;PMAR01;2025-05-12 15:47:56+00:00
33 - 18;33 - 22;2025-05-12;1900-01-01 16:01:00;RIVE04;2025-05-12 16:02:08+00:00
33 - 20;37 - 33;2025-05-12;1900-01-01 16:13:40;PMAR01;2025-05-12 16:17:06+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 16:31:00;RIVE04;2025-05-12 16:32:54+00:00
33 - 19;33 - 23;2025-05-12;1900-01-01 16:43:40;PMAR01;2025-05-12 16:47:19+00:00
33 - 20;37 - 33;2025-05-12;1900-01-01 16:46:40;RIVE04;2025-05-12 16:48:31+00:00
33 - 22;33 - 18;2025-05-12;1900-01-01 17:01:40;RIVE04;2025-05-12 17:01:39+00:00
33 - 33;33 - 20;2025-05-12;1900-01-01 17:13:40;PMAR01;2025-05-12 17:14:35+00:00
33 - 55;33 - 23;2025-05-12;1900-01-01 17:16:40;RIVE04;2025-05-12 17:17:41+00:00
33 - 18;33 - 22;2025-05-12;1900-01-01 17:28:40;PMAR01;2025-05-12 17:31:00+00:00
33 - 19;33 - 21;2025-05-12;1900-01-01 17:31:40;RIVE04;2025-05-12 17:33:14+00:00
33 - 23;38 - 55;2025-05-12;1900-01-01 17:43:40;PMAR01;2025-05-12 17:45:23+00:00
33 - 33;33 - 20;2025-05-12;1900-01-01 17:46:40;RIVE04;2025-05-12 17:47:37+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 17:58:40;PMAR01;2025-05-12 17:59:27+00:00
33 - 18;33 - 22;2025-05-12;1900-01-01 18:01:40;RIVE04;2025-05-12 18:02:16+00:00
33 - 20;37 - 33;2025-05-12;1900-01-01 18:13:40;PMAR01;2025-05-12 18:14:33+00:00
33 - 23;38 - 55;2025-05-12;1900-01-01 18:16:40;RIVE04;2025-05-12 18:17:41+00:00
33 - 22;33 - 18;2025-05-12;1900-01-01 18:27:40;PMAR01;2025-05-12 18:31:03+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 18:32:00;RIVE04;2025-05-12 18:33:00+00:00
33 - 55;33 - 23;2025-05-12;1900-01-01 18:45:00;PMAR01;2025-05-12 18:47:03+00:00
