,IdCourse,DateCourse,IdArret,HDepartTheo,HSortieFenetreArretReal,Ligne,RangArretAsc,numvoit,TypeSens,SensTheo,IdVehicule,CodeLong,Arret,Category,WorkWeekend,Hour,Peak,dep_delay_min,dep_late,HDepartTheo_stop,HSortieFenetreArretReal_stop,CodeLong_stop,RangArretAsc_stop,TypeSens_stop,depot_X,depot_Y,stop_X,stop_Y,dist_km,travel_time_min,actual_diff_min,feasible,stop_delay_min,stop_late
0,85069630,2025-01-01,481,1900-01-01 04:38:00,1900-01-01 04:33:17,59,1,1,2,A,21972.0,DPGLOB00,CM GLOBE,GLOBE,Workday,4.0,,-4.716666666666667,False,1900-01-01 04:55:00,1900-01-01 04:55:20,LEVE00,1,0,497020,118627,500775.0,122425.0,5.340864068669038,5.340864068669038,22.05,True,0.3333333333333333,False
1,85069500,2025-01-01,481,1900-01-01 04:52:00,1900-01-01 04:48:53,57,1,2,2,A,22000.0,DPGLOB00,CM GLOBE,GLOBE,Workday,4.0,,-3.1166666666666667,False,1900-01-01 05:02:00,1900-01-01 05:02:53,ZIMG02,1,0,497020,118627,494025.0,119837.0,3.230189622916896,3.230189622916896,14.0,True,0.8833333333333333,False
2,85070041,2025-01-01,482,1900-01-01 10:08:00,1900-01-01 10:12:32,60,1,6,2,A,22032.0,DPRDTA00,DEPOT RDTA,Rdta,Workday,10.0,,4.533333333333333,True,1900-01-01 10:10:00,1900-01-01 10:15:40,GXAI01,1,0,493836,132215,494835.0,132750.0,1.1332369566864644,1.1332369566864644,3.1333333333333333,True,5.666666666666667,True
3,85069983,2025-01-01,482,1900-01-01 05:40:00,1900-01-01 05:40:22,60,1,2,2,A,22041.0,DPRDTA00,DEPOT RDTA,Rdta,Workday,5.0,,0.36666666666666664,False,1900-01-01 05:42:00,1900-01-01 05:44:24,GXAI01,1,0,493836,132215,494835.0,132750.0,1.1332369566864644,1.1332369566864644,4.033333333333333,True,2.4,False
4,85071607,2025-01-01,481,1900-01-01 03:46:00,1900-01-01 03:42:54,A4,1,4,2,A,22051.0,DPGLOB00,CM GLOBE,GLOBE,Workday,3.0,,-3.1,False,1900-01-01 03:53:00,1900-01-01 03:47:32,ESRT03,2,2,497020,118627,497693.0,116100.0,2.6150827902764378,2.6150827902764378,4.633333333333334,True,-5.466666666666667,False
7,85072452,2025-01-01,7156,1900-01-01 05:14:00,1900-01-01 05:01:29,38,1,2,2,A,22064.0,DPGET200,DEPOT GENEVE-TOU,Genève-Tours,Workday,5.0,,-12.516666666666667,False,1900-01-01 05:25:00,1900-01-01 05:25:33,FAVR04,1,0,507292,123469,503864.0,116801.0,7.497560136471064,7.497560136471064,24.066666666666666,True,0.55,False
9,85069431,2025-01-01,481,1900-01-01 04:22:00,1900-01-01 04:27:01,57,1,1,2,A,22145.0,DPGLOB00,CM GLOBE,GLOBE,Workday,4.0,,5.016666666666667,True,1900-01-01 04:32:00,1900-01-01 04:33:26,ZIMG02,1,0,497020,118627,494025.0,119837.0,3.230189622916896,3.230189622916896,6.416666666666667,True,1.4333333333333333,False
10,85067620,2025-01-01,481,1900-01-01 04:17:00,1900-01-01 04:12:44,28,1,1,2,A,22149.0,DPGLOB00,CM GLOBE,GLOBE,Workday,4.0,,-4.266666666666667,False,1900-01-01 04:24:00,1900-01-01 04:18:26,ESRT06,2,2,497020,118627,497579.0,116171.0,2.518812617087663,2.518812617087663,5.7,True,-5.566666666666666,False
11,85071411,2025-01-01,481,1900-01-01 04:54:00,1900-01-01 04:51:54,91,1,1,2,A,22170.0,DPGLOB00,CM GLOBE,GLOBE,Workday,4.0,,-2.1,False,1900-01-01 05:12:00,1900-01-01 05:06:05,JOPO00,2,2,497020,118627,498702.0,117491.0,2.0296847045785213,2.0296847045785213,14.183333333333334,True,-5.916666666666667,False
12,85072633,2025-01-01,481,1900-01-01 05:23:00,1900-01-01 05:18:03,71,1,1,2,A,22174.0,DPGLOB00,CM GLOBE,GLOBE,Workday,5.0,,-4.95,False,1900-01-01 05:35:00,1900-01-01 05:29:46,SYGA01,2,2,497020,118627,491883.0,119081.0,5.157022881469501,5.157022881469501,11.716666666666667,True,-5.233333333333333,False
